IATA,ciudad
MTY,Monterrey
TLC,Toluca
MEX,Ciudad de México
TAM,Tamaulipas
GDL,Guadalajara
CJS,Ciudad Juárez
CUN,Cancún
TIJ,Tijuana
HMO,Hermosillo
CME,Ciudad del Carmen
MID,Mérida
CTM,Chetumal
VER,Veracruz
OAX,Oaxaca
HUX,Huatulco
ZIH,Zihuatanejo
PVR,Puerto Vallarta
LIM,Lima
HAV,La Habana
BOG,Bogotá
MIA,Miami
LAX,Los Angeles
JFK,Nueva York
TRC,Torreón
PXM,Puerto Escondido
ACA,Acapulco
MZT,Mazatlán
GUA,Guatemala
VSA,Villahermosa
BZE,Ciudad de Belice
DFW,Dallas
ORD,Chicago
PHX,Phoenix
PHL,Philadelphia
CLT,Charlotte
YYZ,Toronto
IAH,Houston
YVR,Vancouver
CDG,París
ZCL,Zacatecas
AMS,Ámsterdam
ATL,Atlanta
CEN,Ciudad Obregón
MAD,Madrid
SCL,Santiago de Chile
