origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude,,,origin,destination,ticket
TLC,MTY,19.3371,-99.566,25.7785,-100.107,,,TLC,MTY,AT1M21
MTY,TLC,25.7785,-100.107,19.3371,-99.566,,,MTY,TLC,BM1T22
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,MTY,CM1M23
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MTY,MEX,DM1M24
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,TAM,EM1T25
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,TAM,MEX,FT1M26
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,GDL,GM1G27
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,GDL,MEX,HG1M28
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,CJS,IM1C29
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,CJS,MEX,JC1M20
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MTY,GDL,KM1G21
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,CUN,MEX,LC1M22
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,CUN,MM1C23
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,TIJ,MEX,NT1M24
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,TIJ,OM1T25
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,HMO,PM1H26
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,HMO,MEX,QH1M27
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,CME,RM1C28
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,CME,MEX,SC1M29
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,MID,TM1M20
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MID,MEX,UM1M21
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,CTM,VM1C22
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,CTM,MEX,WC1M23
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,VER,MEX,XV1M24
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,VER,YM1V25
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,OAX,ZM1O26
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,OAX,MEX,AAO1M2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,HUX,ABM1H2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,HUX,MEX,ACH1M2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,ZIH,ADM1Z2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,PVR,MEX,AEP1M2
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,PVR,AFM1P2
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,LIM,AGM1L2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,HAV,AHM1H2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,BOG,AIM1B2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,MIA,AJM1M2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,LAX,AKM1L2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,JFK,ALM1J2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,TRC,AMM1T2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,PXM,ANM1P2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,PXM,MEX,AOP1M2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,ACA,MEX,APA1M2
